hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
Resort Hotel,Offline TA/TO,Direct,Transient-Party,6-12 months,No Deposit,1,0,255.99,0.0,3,85.33,191.0,1.0,0.0,0.0,255.99,6.89
Resort Hotel,Online TA,Corporate,Transient,6-12 months,No Deposit,1,0,60.0,0.0,1,60.0,189.0,0.0,2.0,0.0,60.0,6.82
City Hotel,Direct,Direct,Group,Same week,No Deposit,18,2,5186.4,434.0,46,121.67222222222222,2.388888888888889,0.16666666666666666,0.2222222222222222,0.1111111111111111,288.1333333333333,6.76
City Hotel,Online TA,TA/TO,Transient-Party,6-12 months,Non Refund,1,0,335.32,0.0,4,83.83,186.0,0.0,0.0,0.0,335.32,6.71
Resort Hotel,Corporate,Corporate,Transient-Party,1-4 weeks,No Deposit,155,15,37547.89,2380.45,670,54.88709677419355,19.07741935483871,0.012903225806451613,0.08387096774193549,0.0967741935483871,242.24445161290322,6.52
City Hotel,Complementary,Corporate,Transient,1-4 weeks,No Deposit,10,1,0.0,4.0,14,0.2,13.7,0.7,0.7,0.1,0.0,6.49
Resort Hotel,Offline TA/TO,Direct,Transient,3-6 months,No Deposit,1,0,360.0,0.0,5,72.0,180.0,1.0,0.0,0.0,360.0,6.49
City Hotel,Online TA,TA/TO,Transient-Party,Same week,No Deposit,154,16,24978.15,6068.17,258,99.32883116883116,2.7142857142857144,0.01948051948051948,0.5844155844155844,0.1038961038961039,162.19577922077923,6.4
City Hotel,Complementary,Direct,Transient,Same week,No Deposit,308,31,1207.0,0.0,410,1.6772727272727272,1.6363636363636365,0.38961038961038963,0.8831168831168831,0.10064935064935066,3.918831168831169,6.1
City Hotel,Corporate,TA/TO,Transient-Party,3-6 months,No Deposit,49,2,4545.0,170.0,56,81.1734693877551,99.0,0.0,0.0,0.04081632653061224,92.75510204081633,6.02
Resort Hotel,Offline TA/TO,TA/TO,Transient-Party,3-6 months,Non Refund,1,0,403.2,0.0,4,100.8,167.0,0.0,1.0,0.0,403.2,6.02
City Hotel,Offline TA/TO,TA/TO,Group,1-4 weeks,No Deposit,23,2,5453.15,575.0,61,92.57434782608696,18.782608695652176,0.08695652173913043,0.43478260869565216,0.08695652173913043,237.09347826086955,5.9
Resort Hotel,Complementary,TA/TO,Transient,Same week,No Deposit,21,2,0.0,0.0,28,0.0,4.0,0.23809523809523808,1.2857142857142858,0.09523809523809523,0.0,5.86
Resort Hotel,Groups,Corporate,Transient-Party,Same week,No Deposit,147,13,22615.78,2266.0,501,44.16401360544217,6.401360544217687,0.034013605442176874,0.08163265306122448,0.08843537414965986,153.84884353741495,5.56
Resort Hotel,Corporate,Direct,Transient-Party,3-6 months,No Deposit,7,0,1827.6000000000001,0.0,21,87.02857142857144,154.0,0.0,0.0,0.0,261.0857142857143,5.55
Resort Hotel,Online TA,TA/TO,Transient-Party,1-3 months,No Deposit,325,19,119523.49,4737.34,1115,103.24563076923077,54.83076923076923,0.006153846153846154,1.2553846153846153,0.05846153846153846,367.76458461538465,5.54
City Hotel,Direct,Direct,Group,3-6 months,No Deposit,3,0,713.35,0.0,9,80.28333333333335,149.33333333333334,0.0,1.3333333333333333,0.0,237.78333333333333,5.39
Resort Hotel,Offline TA/TO,TA/TO,Contract,1-4 weeks,No Deposit,92,7,47530.33,4206.05,502,94.4696739130435,19.92391304347826,0.010869565217391304,0.3804347826086957,0.07608695652173914,516.6340217391305,5.33
City Hotel,Online TA,TA/TO,Group,3-6 months,No Deposit,13,0,2774.5,0.0,32,92.53384615384616,147.23076923076923,0.0,2.0,0.0,213.42307692307693,5.31
Resort Hotel,Direct,Direct,Group,3-6 months,No Deposit,4,0,2619.3,0.0,16,152.275,147.0,0.25,1.75,0.0,654.825,5.3
Resort Hotel,Groups,TA/TO,Transient-Party,Same week,No Deposit,70,6,6437.5,708.0,122,56.824285714285715,3.4714285714285715,0.014285714285714285,0.34285714285714286,0.08571428571428572,91.96428571428571,5.28
City Hotel,Direct,Direct,Transient-Party,Same week,No Deposit,117,10,21973.82,2299.0,218,103.04008547008547,2.0683760683760686,0.042735042735042736,0.42735042735042733,0.08547008547008547,187.81042735042735,5.23
City Hotel,Corporate,Corporate,Transient,Same week,No Deposit,1034,85,131004.78,14283.5,1618,78.78800773694391,2.9448742746615086,0.5599613152804642,0.43036750483558994,0.08220502901353965,126.69707930367505,5.19
City Hotel,Online TA,TA/TO,Group,1-3 months,No Deposit,18,1,3974.7,111.6,42,99.96055555555556,51.05555555555556,0.1111111111111111,1.0,0.05555555555555555,220.81666666666666,5.18
City Hotel,Offline TA/TO,TA/TO,Transient,Same week,No Deposit,605,50,104723.28,9539.75,1282,75.86714049586777,2.6099173553719006,0.12231404958677686,0.27107438016528923,0.08264462809917356,173.0963305785124,5.16
Resort Hotel,Groups,TA/TO,Group,3-6 months,No Deposit,1,0,0.0,0.0,7,0.0,140.0,1.0,1.0,0.0,0.0,5.05
Resort Hotel,Offline TA/TO,TA/TO,Group,3-6 months,No Deposit,6,0,6065.889999999999,0.0,45,120.38833333333334,138.5,0.6666666666666666,1.5,0.0,1010.9816666666666,5.0
City Hotel,Offline TA/TO,TA/TO,Group,3-6 months,No Deposit,14,0,3612.14,0.0,51,72.79142857142857,138.0,0.0,0.35714285714285715,0.0,258.01,4.98
Resort Hotel,Direct,Corporate,Transient-Party,3-6 months,No Deposit,1,0,320.0,0.0,4,80.0,138.0,1.0,0.0,0.0,320.0,4.98
City Hotel,Offline TA/TO,Corporate,Transient-Party,3-6 months,No Deposit,91,1,29595.0,120.0,270,108.54945054945055,118.1978021978022,0.01098901098901099,0.04395604395604396,0.01098901098901099,325.2197802197802,4.92
City Hotel,Direct,Direct,Group,1-4 weeks,No Deposit,14,1,3877.14,170.0,32,121.48571428571428,17.428571428571427,0.14285714285714285,0.5714285714285714,0.07142857142857142,276.93857142857144,4.92
City Hotel,Online TA,TA/TO,Contract,Same week,No Deposit,405,31,120736.32,14079.13,1014,119.24748148148149,2.7679012345679013,0.014814814814814815,1.2493827160493827,0.07654320987654321,298.1143703703704,4.84
City Hotel,Offline TA/TO,GDS,Transient,1-4 weeks,No Deposit,14,1,3009.99,18.0,26,111.66642857142857,14.142857142857142,0.0,0.07142857142857142,0.07142857142857142,214.9992857142857,4.8
City Hotel,Complementary,Direct,Contract,3-6 months,No Deposit,1,0,6.0,0.0,1,6.0,130.0,0.0,2.0,0.0,6.0,4.69
Resort Hotel,Corporate,Corporate,Transient,Same week,No Deposit,1090,81,67590.07,7829.54,1466,47.18543119266055,2.403669724770642,0.3119266055045872,0.1853211009174312,0.07431192660550459,62.009238532110096,4.63
Resort Hotel,Groups,TA/TO,Contract,3-6 months,No Deposit,22,0,16298.01,0.0,191,83.61681818181818,127.95454545454545,0.0,0.3181818181818182,0.0,740.8186363636364,4.62
City Hotel,Online TA,Direct,Transient,Same week,No Deposit,40,3,6872.6,288.0,57,111.29,1.475,0.075,0.6,0.075,171.815,4.56
Resort Hotel,Corporate,Corporate,Transient-Party,Same week,No Deposit,149,11,12474.0,488.0,266,44.741610738255034,2.610738255033557,0.26174496644295303,0.19463087248322147,0.0738255033557047,83.71812080536913,4.53
Resort Hotel,Corporate,Direct,Transient,3-6 months,No Deposit,2,0,481.6,0.0,5,98.35,125.5,0.5,0.5,0.0,240.8,4.53
City Hotel,Offline TA/TO,TA/TO,Contract,3-6 months,No Deposit,11,0,4126.5,0.0,50,79.5,125.0909090909091,0.0,0.5454545454545454,0.0,375.1363636363636,4.51
City Hotel,Online TA,GDS,Transient,Same week,No Deposit,55,4,9405.99,692.0,68,123.93327272727272,3.0545454545454547,0.01818181818181818,0.14545454545454545,0.07272727272727272,171.018,4.48
City Hotel,Online TA,Direct,Group,3-6 months,No Deposit,1,0,198.0,0.0,2,99.0,124.0,0.0,1.0,0.0,198.0,4.47
Resort Hotel,Groups,TA/TO,Transient,3-6 months,No Deposit,15,0,4620.57,0.0,75,59.10466666666666,122.0,0.0,0.26666666666666666,0.0,308.03799999999995,4.4
Resort Hotel,Online TA,TA/TO,Transient,Same week,No Deposit,2955,190,535154.25,40993.91,5476,90.78806429780033,2.2835871404399324,0.06395939086294417,0.8629441624365483,0.06429780033840947,181.101269035533,4.38
Resort Hotel,Online TA,Direct,Transient,Same week,No Deposit,28,2,3618.1,482.0,38,87.27142857142857,1.5,0.5357142857142857,0.8214285714285714,0.07142857142857142,129.21785714285713,4.34
City Hotel,Direct,TA/TO,Transient,3-6 months,No Deposit,2,0,482.4,0.0,5,107.55,117.5,0.5,2.5,0.0,241.2,4.24
City Hotel,Groups,Corporate,Transient-Party,3-6 months,No Deposit,1,0,360.0,0.0,3,120.0,113.0,0.0,0.0,0.0,360.0,4.08
Resort Hotel,Corporate,Direct,Group,3-6 months,No Deposit,1,0,120.0,0.0,2,60.0,112.0,0.0,1.0,0.0,120.0,4.04
City Hotel,Corporate,Corporate,Transient-Party,Same week,No Deposit,234,15,34337.99,1628.4,391,84.08209401709401,2.6880341880341883,0.23504273504273504,0.2222222222222222,0.0641025641025641,146.743547008547,3.96
City Hotel,Corporate,Corporate,Transient,3-6 months,No Deposit,23,0,8405.91,0.0,86,88.65739130434783,109.65217391304348,0.391304347826087,0.13043478260869565,0.0,365.47434782608696,3.95
Resort Hotel,Corporate,Corporate,Transient,3-6 months,No Deposit,4,0,364.0,0.0,8,51.0,109.5,0.5,0.0,0.0,91.0,3.95
Resort Hotel,Direct,Direct,Transient,Same week,No Deposit,2596,154,381891.8,27059.68,4171,85.7987904468413,1.231124807395994,0.1236517719568567,0.30431432973805855,0.059322033898305086,147.107781201849,3.89
City Hotel,Complementary,Direct,Transient,3-6 months,No Deposit,8,0,0.0,0.0,14,0.0,106.0,0.25,2.25,0.0,0.0,3.82
Resort Hotel,Offline TA/TO,Direct,Contract,3-6 months,No Deposit,1,0,239.40000000000003,0.0,7,34.2,106.0,1.0,0.0,0.0,239.40000000000003,3.82
Resort Hotel,Direct,Undefined,Transient,3-6 months,No Deposit,1,0,563.5,0.0,5,112.7,103.0,0.0,2.0,0.0,563.5,3.72
City Hotel,Online TA,TA/TO,Transient-Party,3-6 months,Non Refund,1,0,695.8,0.0,4,173.95,102.0,0.0,2.0,0.0,695.8,3.68
Resort Hotel,Direct,Direct,Transient-Party,Same week,No Deposit,169,10,20481.55,1163.95,265,71.5792899408284,1.6568047337278107,0.08875739644970414,0.3609467455621302,0.05917159763313609,121.19260355029586,3.62
City Hotel,Direct,TA/TO,Transient,Same week,No Deposit,17,1,3317.0,90.0,28,117.23529411764706,1.0588235294117647,0.23529411764705882,0.5294117647058824,0.058823529411764705,195.11764705882354,3.57
City Hotel,Corporate,TA/TO,Transient,3-6 months,No Deposit,1,0,81.0,0.0,1,81.0,99.0,0.0,0.0,0.0,81.0,3.57
Resort Hotel,Offline TA/TO,TA/TO,Transient,Same week,No Deposit,655,35,76323.9,10482.86,1515,44.64146564885496,2.6763358778625954,0.08702290076335878,0.24274809160305344,0.05343511450381679,116.52503816793892,3.42
Resort Hotel,Complementary,TA/TO,Transient-Party,3-6 months,No Deposit,1,0,0.0,0.0,4,0.0,94.0,0.0,0.0,0.0,0.0,3.39
Resort Hotel,Offline TA/TO,TA/TO,Transient-Party,Same week,No Deposit,139,7,10898.82,623.4,216,45.98086330935252,2.935251798561151,0.02158273381294964,0.4676258992805755,0.050359712230215826,78.40877697841727,3.13
City Hotel,Offline TA/TO,TA/TO,Contract,Same week,No Deposit,20,1,4585.6,340.0,51,92.05,3.6,0.0,0.4,0.05,229.28000000000003,3.13
Resort Hotel,Direct,TA/TO,Transient,1-4 weeks,No Deposit,24,1,14707.69,445.5,98,134.65416666666667,16.708333333333332,0.5833333333333334,1.4166666666666667,0.041666666666666664,612.8204166666667,3.11
Resort Hotel,Corporate,TA/TO,Transient,1-3 months,No Deposit,1,0,254.0,0.0,2,127.0,86.0,0.0,0.0,0.0,254.0,3.1
Resort Hotel,Corporate,TA/TO,Transient-Party,1-3 months,No Deposit,8,0,1361.99,0.0,11,107.91625,85.625,0.0,0.0,0.0,170.24875,3.09
Resort Hotel,Direct,Corporate,Transient,1-4 weeks,No Deposit,25,1,2010.0,40.0,32,61.56,16.88,0.04,0.28,0.04,80.4,3.01
Resort Hotel,Corporate,Direct,Transient,Same week,No Deposit,62,3,4196.1,110.0,79,52.225806451612904,1.8225806451612903,0.45161290322580644,0.14516129032258066,0.04838709677419355,67.67903225806452,2.97
Resort Hotel,Complementary,TA/TO,Transient-Party,1-3 months,No Deposit,1,0,14.0,0.0,2,7.0,80.0,0.0,1.0,0.0,14.0,2.89
City Hotel,Corporate,Corporate,Transient-Party,1-3 months,Non Refund,4,0,954.0,0.0,9,106.0,76.75,0.0,0.0,0.0,238.5,2.77
City Hotel,Online TA,TA/TO,Group,1-4 weeks,No Deposit,28,1,5916.88,380.38,60,107.09928571428573,16.607142857142858,0.07142857142857142,1.0,0.03571428571428571,211.31714285714287,2.75
City Hotel,Online TA,TA/TO,Group,Same week,No Deposit,25,1,4473.27,558.25,44,100.91120000000001,1.56,0.6,1.16,0.04,178.9308,2.46
City Hotel,Groups,TA/TO,Transient-Party,1-3 months,Refundable,1,0,216.75,0.0,3,72.25,62.0,0.0,0.0,0.0,216.75,2.24
Resort Hotel,Online TA,TA/TO,Transient-Party,1-4 weeks,No Deposit,274,7,77735.12,3789.0,686,106.94383211678833,17.572992700729927,0.01824817518248175,1.1605839416058394,0.025547445255474453,283.70481751824815,2.21
City Hotel,Groups,Corporate,Transient,1-3 months,No Deposit,3,0,660.0,0.0,8,97.0,60.666666666666664,0.0,0.0,0.0,220.0,2.19
Resort Hotel,Direct,Direct,Group,Same week,No Deposit,29,1,3439.2,910.0,49,83.26206896551724,1.4137931034482758,0.3793103448275862,0.3103448275862069,0.034482758620689655,118.59310344827585,2.13
Resort Hotel,Corporate,Direct,Transient-Party,1-3 months,No Deposit,6,0,490.0,0.0,11,41.333333333333336,57.833333333333336,0.16666666666666666,0.0,0.0,81.66666666666667,2.09
City Hotel,Direct,TA/TO,Transient,1-3 months,No Deposit,2,0,737.9,0.0,5,149.475,56.5,0.0,2.0,0.0,368.95,2.04
Resort Hotel,Direct,TA/TO,Transient,1-3 months,No Deposit,9,0,7419.21,0.0,46,150.08555555555554,53.44444444444444,0.8888888888888888,1.0,0.0,824.3566666666667,1.93
Resort Hotel,Groups,TA/TO,Group,1-3 months,No Deposit,2,0,526.98,0.0,9,55.165,53.5,0.5,1.0,0.0,263.49,1.93
City Hotel,Corporate,Corporate,Transient-Party,1-3 months,Refundable,3,0,248.0,0.0,3,82.66666666666667,51.333333333333336,0.0,0.3333333333333333,0.0,82.66666666666667,1.85
City Hotel,Offline TA/TO,Direct,Transient,1-3 months,No Deposit,1,0,135.0,0.0,2,67.5,50.0,1.0,1.0,0.0,135.0,1.8
Resort Hotel,Online TA,TA/TO,Contract,1-3 months,No Deposit,1,0,1078.0,0.0,8,134.75,50.0,0.0,1.0,0.0,1078.0,1.8
Resort Hotel,Offline TA/TO,TA/TO,Group,Same week,No Deposit,35,1,3243.2,42.0,70,44.034285714285716,1.5714285714285714,0.5428571428571428,0.34285714285714286,0.02857142857142857,92.66285714285713,1.77
Resort Hotel,Corporate,Corporate,Group,1-3 months,No Deposit,1,0,405.0,0.0,3,135.0,49.0,0.0,1.0,0.0,405.0,1.77
Resort Hotel,Corporate,Direct,Transient,1-3 months,No Deposit,1,0,441.99,0.0,3,147.33,49.0,1.0,1.0,0.0,441.99,1.77
Resort Hotel,Groups,Direct,Transient,1-3 months,No Deposit,13,0,3191.0,0.0,34,97.76923076923077,48.84615384615385,0.0,0.23076923076923078,0.0,245.46153846153845,1.76
Resort Hotel,Groups,TA/TO,Contract,1-3 months,No Deposit,8,0,4263.0,0.0,52,79.625,47.875,0.0,0.5,0.0,532.875,1.73
City Hotel,Groups,Direct,Transient-Party,1-3 months,Non Refund,1,0,225.0,0.0,3,75.0,48.0,0.0,2.0,0.0,225.0,1.73
City Hotel,Groups,Direct,Transient,1-3 months,No Deposit,3,0,650.0,0.0,10,65.0,47.666666666666664,0.0,1.0,0.0,216.66666666666666,1.72
Resort Hotel,Direct,Corporate,Transient,1-3 months,No Deposit,9,0,1308.01,0.0,20,66.18555555555555,47.22222222222222,0.0,0.0,0.0,145.33444444444444,1.7
Resort Hotel,Online TA,Direct,Transient-Party,1-3 months,No Deposit,4,0,1785.0,0.0,8,173.75,47.0,0.75,2.0,0.0,446.25,1.7
Resort Hotel,Online TA,Corporate,Transient,1-3 months,No Deposit,2,0,108.41,0.0,2,54.205,47.0,0.0,1.0,0.0,54.205,1.7
City Hotel,Online TA,Direct,Transient,1-3 months,No Deposit,1,0,170.0,0.0,1,170.0,42.0,0.0,3.0,0.0,170.0,1.51
City Hotel,Corporate,TA/TO,Transient-Party,1-4 weeks,No Deposit,79,1,10335.44,81.0,130,79.56607594936709,19.126582278481013,0.0,0.12658227848101267,0.012658227848101266,130.82835443037976,1.45
Resort Hotel,Offline TA/TO,Corporate,Transient,1-3 months,No Deposit,4,0,186.0,0.0,4,46.5,38.75,0.0,0.5,0.0,46.5,1.4
City Hotel,Groups,TA/TO,Group,1-3 months,No Deposit,2,0,320.0,0.0,4,75.0,38.0,0.0,1.0,0.0,160.0,1.37
Resort Hotel,Online TA,TA/TO,Transient-Party,Same week,No Deposit,301,6,46953.41,380.4,483,89.86634551495017,2.6511627906976742,0.036544850498338874,0.7873754152823921,0.019933554817275746,155.99139534883722,1.3
City Hotel,Corporate,Direct,Transient,1-3 months,No Deposit,1,0,427.5,0.0,6,71.25,35.0,0.0,2.0,0.0,427.5,1.26
City Hotel,Complementary,TA/TO,Transient-Party,1-3 months,No Deposit,4,0,548.0,0.0,8,68.5,33.0,0.0,0.0,0.0,137.0,1.19
Resort Hotel,Complementary,Corporate,Transient,1-3 months,No Deposit,1,0,0.0,0.0,2,0.0,31.0,0.0,1.0,0.0,0.0,1.12
Resort Hotel,Complementary,Direct,Transient-Party,1-3 months,No Deposit,1,0,0.0,0.0,2,0.0,31.0,1.0,3.0,0.0,0.0,1.12
City Hotel,Offline TA/TO,Direct,Transient,1-4 weeks,No Deposit,1,0,150.0,0.0,2,75.0,29.0,1.0,1.0,0.0,150.0,1.05
City Hotel,Offline TA/TO,TA/TO,Transient-Party,1-4 weeks,Refundable,1,0,189.0,0.0,3,63.0,29.0,0.0,0.0,0.0,189.0,1.05
Resort Hotel,Corporate,Corporate,Group,1-4 weeks,No Deposit,2,0,400.0,0.0,8,50.0,26.0,1.0,0.0,0.0,200.0,0.94
City Hotel,Corporate,TA/TO,Transient,1-4 weeks,No Deposit,2,0,323.4,0.0,3,112.1,23.5,0.0,0.0,0.0,161.7,0.85
City Hotel,Complementary,TA/TO,Transient,1-4 weeks,No Deposit,3,0,0.0,0.0,7,0.0,23.0,0.3333333333333333,1.0,0.0,0.0,0.83
Resort Hotel,Online TA,Direct,Transient-Party,1-4 weeks,No Deposit,2,0,265.01,0.0,5,53.835,23.0,1.0,1.5,0.0,132.505,0.83
City Hotel,Complementary,TA/TO,Group,1-4 weeks,No Deposit,1,0,0.0,0.0,2,0.0,23.0,0.0,1.0,0.0,0.0,0.83
City Hotel,Corporate,Direct,Transient-Party,1-4 weeks,No Deposit,2,0,67.0,0.0,1,33.5,22.0,0.0,1.0,0.0,33.5,0.79
City Hotel,Corporate,Corporate,Transient-Party,1-4 weeks,Non Refund,1,0,150.0,0.0,2,75.0,22.0,0.0,0.0,0.0,150.0,0.79
Resort Hotel,Groups,TA/TO,Transient-Party,1-4 weeks,Non Refund,7,0,763.0,0.0,14,54.5,21.571428571428573,0.0,0.0,0.0,109.0,0.78
Resort Hotel,Groups,TA/TO,Transient,1-4 weeks,No Deposit,4,0,614.0,0.0,12,38.0,20.5,0.0,0.0,0.0,153.5,0.74
Resort Hotel,Offline TA/TO,Corporate,Transient,1-4 weeks,No Deposit,4,0,324.0,0.0,10,34.5,19.0,0.25,0.5,0.0,81.0,0.69
Resort Hotel,Complementary,Corporate,Transient-Party,1-4 weeks,No Deposit,2,0,240.0,0.0,35,24.0,19.0,0.5,1.0,0.0,120.0,0.69
Resort Hotel,Corporate,Corporate,Transient-Party,1-4 weeks,Non Refund,1,0,48.0,0.0,1,48.0,19.0,0.0,0.0,0.0,48.0,0.69
City Hotel,Online TA,Direct,Transient,1-4 weeks,No Deposit,6,0,920.74,0.0,9,82.94666666666667,18.666666666666668,0.3333333333333333,1.0,0.0,153.45666666666668,0.67
Resort Hotel,Direct,Corporate,Transient-Party,1-4 weeks,No Deposit,4,0,615.2,0.0,11,57.55,18.25,0.5,0.25,0.0,153.8,0.66
City Hotel,Groups,Direct,Transient-Party,1-4 weeks,Non Refund,1,0,92.65,0.0,1,92.65,18.0,0.0,0.0,0.0,92.65,0.65
Resort Hotel,Direct,Direct,Group,1-4 weeks,No Deposit,5,0,2134.1,0.0,15,103.64000000000001,17.2,0.4,1.0,0.0,426.82,0.62
City Hotel,Direct,TA/TO,Transient,1-4 weeks,No Deposit,6,0,2021.0,0.0,18,121.08333333333333,15.833333333333334,0.3333333333333333,1.3333333333333333,0.0,336.8333333333333,0.57
Resort Hotel,Direct,TA/TO,Group,1-4 weeks,No Deposit,3,0,266.0,0.0,4,67.66666666666667,15.333333333333334,0.3333333333333333,1.6666666666666667,0.0,88.66666666666667,0.55
Resort Hotel,Groups,Corporate,Transient,1-4 weeks,No Deposit,6,0,743.0,0.0,14,55.666666666666664,14.833333333333334,0.0,0.16666666666666666,0.0,123.83333333333333,0.54
Resort Hotel,Online TA,Direct,Transient,1-4 weeks,No Deposit,11,0,3001.0,0.0,25,97.6,13.090909090909092,0.5454545454545454,1.2727272727272727,0.0,272.8181818181818,0.47
City Hotel,Groups,Direct,Transient,1-4 weeks,No Deposit,5,0,616.65,0.0,6,109.92999999999999,12.2,0.0,0.0,0.0,123.33,0.44
City Hotel,Corporate,Direct,Transient,1-4 weeks,No Deposit,4,0,1060.0,0.0,8,115.5,12.0,0.25,1.0,0.0,265.0,0.43
Resort Hotel,Online TA,Direct,Group,1-4 weeks,No Deposit,3,0,436.85,0.0,7,85.65666666666668,12.0,0.6666666666666666,2.0,0.0,145.61666666666667,0.43
Resort Hotel,Online TA,TA/TO,Group,1-4 weeks,No Deposit,13,0,2079.4,0.0,34,64.23076923076923,11.538461538461538,0.7692307692307693,0.8461538461538461,0.0,159.95384615384617,0.42
Resort Hotel,Corporate,TA/TO,Transient,1-4 weeks,No Deposit,2,0,149.0,0.0,3,53.5,11.5,1.0,0.5,0.0,74.5,0.41
City Hotel,Aviation,TA/TO,Transient,1-4 weeks,No Deposit,2,0,770.0,0.0,7,110.0,11.0,1.0,0.0,0.0,385.0,0.4
Resort Hotel,Direct,Direct,Transient-Party,1-4 weeks,Refundable,1,0,70.0,0.0,1,70.0,11.0,0.0,1.0,0.0,70.0,0.4
Resort Hotel,Groups,TA/TO,Group,1-4 weeks,No Deposit,1,0,50.0,0.0,1,50.0,11.0,0.0,1.0,0.0,50.0,0.4
Resort Hotel,Direct,Direct,Transient-Party,1-4 weeks,Non Refund,1,0,38.0,0.0,1,38.0,10.0,0.0,0.0,0.0,38.0,0.36
Resort Hotel,Corporate,Corporate,Contract,1-4 weeks,No Deposit,8,0,1051.2,0.0,21,46.575,9.75,0.0,0.0,0.0,131.4,0.35
Resort Hotel,Groups,TA/TO,Transient-Party,1-4 weeks,Refundable,16,0,1372.0,0.0,17,77.75,9.3125,0.0625,0.0625,0.0,85.75,0.34
Resort Hotel,Groups,TA/TO,Group,1-4 weeks,Refundable,6,0,426.0,0.0,6,71.0,9.0,0.0,0.0,0.0,71.0,0.32
City Hotel,Direct,Direct,Contract,1-4 weeks,No Deposit,1,0,105.0,0.0,1,105.0,9.0,0.0,2.0,0.0,105.0,0.32
Resort Hotel,Corporate,TA/TO,Transient-Party,1-4 weeks,No Deposit,3,0,360.0,0.0,3,120.0,8.666666666666666,0.0,0.0,0.0,120.0,0.31
City Hotel,Groups,Corporate,Transient-Party,1-4 weeks,No Deposit,2,0,416.0,0.0,4,106.0,8.5,0.0,0.5,0.0,208.0,0.31
Resort Hotel,Complementary,Corporate,Contract,1-4 weeks,No Deposit,1,0,12.0,0.0,5,2.4,8.0,1.0,2.0,0.0,12.0,0.29
Resort Hotel,Corporate,Corporate,Transient-Party,Same week,Non Refund,6,0,2484.0,0.0,24,103.5,7.0,0.0,0.0,0.0,414.0,0.25
Resort Hotel,Corporate,TA/TO,Group,Same week,No Deposit,1,0,38.0,0.0,1,38.0,7.0,1.0,0.0,0.0,38.0,0.25
City Hotel,Groups,Corporate,Transient-Party,Same week,No Deposit,20,0,6410.0,0.0,58,110.5,5.45,0.0,0.0,0.0,320.5,0.2
Resort Hotel,Online TA,Direct,Transient-Party,Same week,No Deposit,3,0,202.0,0.0,3,67.33333333333333,5.0,1.0,1.0,0.0,67.33333333333333,0.18
Resort Hotel,Corporate,Corporate,Contract,Same week,No Deposit,2,0,235.0,0.0,5,47.5,5.0,0.0,0.5,0.0,117.5,0.18
Resort Hotel,Online TA,Corporate,Transient-Party,Same week,No Deposit,1,0,67.24,0.0,1,67.24,5.0,1.0,0.0,0.0,67.24,0.18
City Hotel,Groups,Direct,Transient-Party,Same week,No Deposit,3,0,750.0,0.0,8,93.33333333333333,4.666666666666667,0.0,0.0,0.0,250.0,0.17
Resort Hotel,Offline TA/TO,TA/TO,Contract,Same week,No Deposit,20,0,8415.01,0.0,113,71.6585,4.05,0.05,0.05,0.0,420.7505,0.15
City Hotel,Corporate,Corporate,Transient-Party,Same week,Non Refund,4,0,600.0,0.0,6,97.0,3.75,0.75,0.0,0.0,150.0,0.14
City Hotel,Offline TA/TO,Direct,Transient,Same week,No Deposit,1,0,90.0,0.0,1,90.0,4.0,1.0,1.0,0.0,90.0,0.14
Resort Hotel,Groups,Direct,Transient-Party,Same week,Refundable,1,0,68.0,0.0,2,34.0,4.0,0.0,0.0,0.0,68.0,0.14
Resort Hotel,Groups,TA/TO,Transient-Party,Same week,Non Refund,1,0,109.0,0.0,2,54.5,4.0,0.0,0.0,0.0,109.0,0.14
Resort Hotel,Groups,TA/TO,Transient,Same week,No Deposit,6,0,911.0,0.0,13,51.666666666666664,3.6666666666666665,0.0,0.3333333333333333,0.0,151.83333333333334,0.13
City Hotel,Online TA,Direct,Contract,Same week,No Deposit,2,0,423.0,0.0,4,102.5,3.5,0.0,2.0,0.0,211.5,0.13
Resort Hotel,Offline TA/TO,Corporate,Group,Same week,No Deposit,2,0,95.0,0.0,3,32.5,3.5,1.0,0.0,0.0,47.5,0.13
Resort Hotel,Corporate,TA/TO,Transient,Same week,No Deposit,21,0,1477.5,0.0,35,44.333333333333336,3.2857142857142856,0.7619047619047619,0.8571428571428571,0.0,70.35714285714286,0.12
Resort Hotel,Complementary,TA/TO,Transient-Party,Same week,No Deposit,4,0,108.0,0.0,10,13.5,3.0,0.0,0.0,0.0,27.0,0.11
Resort Hotel,Direct,Corporate,Transient-Party,Same week,No Deposit,3,0,113.0,0.0,3,37.666666666666664,3.0,1.0,1.0,0.0,37.666666666666664,0.11
City Hotel,Direct,TA/TO,Transient-Party,Same week,No Deposit,2,0,264.0,0.0,2,132.0,3.0,0.5,0.5,0.0,132.0,0.11
City Hotel,Groups,Direct,Transient-Party,Same week,Non Refund,1,0,65.0,0.0,1,65.0,3.0,0.0,1.0,0.0,65.0,0.11
Resort Hotel,Direct,TA/TO,Transient-Party,Same week,Refundable,1,0,70.0,0.0,1,70.0,3.0,0.0,0.0,0.0,70.0,0.11
