hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
Resort Hotel,Groups,Direct,Transient-Party,1-3 months,No Deposit,289,69,60402.77,21197.17,782,82.16470588235293,46.88235294117647,0.01730103806228374,0.11764705882352941,0.23875432525951557,209.00612456747405,16.24
City Hotel,Direct,Direct,Transient,1-3 months,No Deposit,1071,230,341684.56,109330.67,2775,123.12925303454715,57.16433239962652,0.003734827264239029,0.646125116713352,0.21475256769374415,319.0332026143791,16.12
City Hotel,Direct,Direct,Transient-Party,3-6 months,No Deposit,149,27,51763.49,12766.89,450,114.28395973154363,138.56375838926175,0.0,0.7046979865771812,0.18120805369127516,347.4059731543624,16.01
City Hotel,Offline TA/TO,TA/TO,Transient-Party,Same week,No Deposit,452,118,63743.84,21730.3,771,78.25840707964602,2.7876106194690267,0.017699115044247787,0.17699115044247787,0.2610619469026549,141.02619469026547,16.0
City Hotel,Offline TA/TO,TA/TO,Transient,3-6 months,No Deposit,1215,213,342109.82,72772.0,3996,85.64322633744857,129.06913580246913,0.0,0.388477366255144,0.17530864197530865,281.5718683127572,15.96
Resort Hotel,Offline TA/TO,TA/TO,Transient,3-6 months,No Deposit,1162,187,582111.11,124631.04,6825,87.50407917383822,137.3734939759036,0.0017211703958691911,0.41222030981067126,0.16092943201376936,500.9562048192771,15.95
Resort Hotel,Direct,Direct,Transient,1-3 months,No Deposit,1016,206,579145.16,140004.19,4112,137.81358267716536,56.392716535433074,0.0265748031496063,0.7165354330708661,0.20275590551181102,570.0247637795276,15.7
City Hotel,Offline TA/TO,TA/TO,Contract,1-3 months,No Deposit,35,8,8011.69,2479.3,96,83.29685714285714,50.42857142857143,0.0,0.6285714285714286,0.22857142857142856,228.90542857142856,15.56
City Hotel,Groups,TA/TO,Transient-Party,1-4 weeks,No Deposit,769,185,176989.47,39335.67,1756,95.4803511053316,18.875162548764628,0.002600780234070221,0.11703511053315994,0.24057217165149544,230.15535760728218,15.54
City Hotel,Groups,TA/TO,Transient,12+ months,No Deposit,1,0,130.0,0.0,2,65.0,429.0,0.0,0.0,0.0,130.0,15.47
