ds,forecast,lower_95,upper_95,model
2017-09-01,0.9768499830210038,0.9461170695592024,1.0,Prophet
2017-10-01,0.929047254256347,0.8998648176150227,0.9621156798575996,Prophet
2017-11-01,0.6361964043372514,0.6023258789504624,0.6679237181477566,Prophet
2017-12-01,0.5614719439110758,0.5306995317393393,0.5942146361496659,Prophet
2018-01-01,0.48240684121608474,0.44914664340060156,0.5162681086659,Prophet
2018-02-01,0.6442605275785133,0.6099075902548214,0.6829555898284304,Prophet
2018-03-01,0.9558845942406207,0.9142503626510098,1.0,Prophet
2018-04-01,0.8895385898139041,0.8434275805925218,0.9337130713654486,Prophet
2018-05-01,0.9108838932423768,0.8602246322635173,0.965705890642594,Prophet
2018-06-01,0.8826465623122656,0.8295784541964235,0.9411303107296662,Prophet
2018-07-01,0.8350921741472328,0.7772395953653274,0.8951603510206493,Prophet
2018-08-01,0.9644286850979923,0.8922485732052088,1.0,Prophet
