arrival_year_month,distribution_channel,bookings,cancellation_rate,realized_revenue,average_lead_time
2015-07,TA/TO,2445,0.49611451942740287,598514.99,136.35460122699388
2015-07,Direct,306,0.13725490196078433,155483.22,51.470588235294116
2015-07,Corporate,22,0.18181818181818182,3527.86,9.318181818181818
2015-07,Undefined,1,0.0,563.5,103.0
2015-08,TA/TO,3162,0.4667931688804554,820236.55,115.20746363061353
2015-08,Direct,607,0.1416803953871499,304386.32,34.4843492586491
2015-08,Corporate,110,0.2909090909090909,12549.35,11.881818181818181
2015-08,Undefined,4,1.0,0.0,3.0
2015-09,TA/TO,4323,0.42470506592644,882508.67,132.18112421929214
2015-09,Direct,442,0.12669683257918551,145996.91,34.49321266968326
2015-09,Corporate,343,0.5860058309037901,25755.09,125.44897959183673
2015-09,GDS,1,0.0,360.0,27.0
2015-10,TA/TO,3975,0.3836477987421384,618439.75,109.08327044025157
2015-10,Direct,631,0.28526148969889065,110559.17,68.68621236133121
2015-10,Corporate,345,0.0782608695652174,55715.96,88.5623188405797
2015-11,TA/TO,1602,0.21785268414481898,253485.34,62.249063670411985
2015-11,Corporate,452,0.21460176991150443,58361.45,22.442477876106196
2015-11,Direct,283,0.1413427561837456,34844.7,9.30035335689046
2015-12,TA/TO,2218,0.38999098286744815,309655.63,60.476555455365194
2015-12,Direct,509,0.18664047151277013,103169.27,31.783889980353635
2015-12,Corporate,186,0.06989247311827956,16630.67,12.46774193548387
2016-01,TA/TO,1605,0.29781931464174455,200566.88,40.6785046728972
2016-01,Direct,432,0.13194444444444445,45670.99,13.680555555555555
2016-01,Corporate,211,0.10426540284360189,18283.51,9.066350710900474
2016-02,TA/TO,2975,0.3912605042016807,380538.86,43.427899159663866
2016-02,Direct,607,0.1400329489291598,82357.74,22.261943986820427
2016-02,Corporate,298,0.28859060402684567,20284.5,27.895973154362416
2016-02,GDS,4,0.0,652.0,9.75
2016-03,TA/TO,3850,0.3464935064935065,621097.27,62.11272727272727
2016-03,Direct,716,0.16899441340782123,122997.98,48.92178770949721
2016-03,Corporate,247,0.08906882591093117,22654.13,9.445344129554655
2016-03,GDS,6,0.0,551.0,3.5
2016-04,TA/TO,4560,0.41403508771929826,742548.28,93.52324561403509
2016-04,Direct,623,0.23274478330658105,126225.04,58.947030497592294
2016-04,Corporate,236,0.11016949152542373,26213.3,10.614406779661017
2016-04,GDS,6,0.16666666666666666,786.0,9.0
2016-05,TA/TO,4611,0.37996096291476905,886047.38,126.54109737584038
2016-05,Direct,544,0.15992647058823528,133388.29,73.82536764705883
2016-05,Corporate,311,0.2379421221864952,51459.92,13.07395498392283
2016-05,GDS,9,0.2222222222222222,1729.6,22.666666666666668
2016-06,TA/TO,4469,0.42492727679570375,948428.84,129.9807563213247
2016-06,Direct,448,0.14508928571428573,143849.88,78.02678571428571
2016-06,Corporate,365,0.3589041095890411,51300.95,49.534246575342465
2016-06,GDS,8,0.125,1024.0,9.875
2016-07,TA/TO,3850,0.3563636363636364,1232224.62,133.14233766233767
2016-07,Direct,547,0.1773308957952468,261836.97,82.49725776965265
2016-07,Corporate,158,0.1518987341772152,25367.0,25.772151898734176
2016-07,GDS,5,0.2,1594.99,12.0
2016-08,TA/TO,4327,0.3880286572683152,1426579.16,130.24474231569218
2016-08,Direct,658,0.19756838905775076,362694.92,75.69148936170212
2016-08,Corporate,69,0.2318840579710145,11164.0,26.6231884057971
2016-08,GDS,1,0.0,113.0,5.0
2016-09,TA/TO,4570,0.4115973741794311,1072230.5,160.50481400437636
