lead_time_band,bookings,cancellation_rate,lost_revenue_estimate,average_reliability_score
1-3 months,29529,0.37729012157540043,4311567.27,85.41078262047479
1-4 weeks,18945,0.2788598574821853,2039854.24,89.27025600422274
12+ months,3147,0.6765173180807118,353385.77,63.415951700031776
3-6 months,26420,0.44735049205147615,5121135.54,82.45817562452687
6-12 months,21534,0.554564874152503,4415532.03,76.90071514813783
Same week,19635,0.09600203717850776,449229.89,96.21263050674816
