country,market_segment,customer_type,bookings,cancellation_rate,realized_revenue,adr,average_lead_time,repeat_guest_rate,average_special_requests,average_total_nights,persona_cluster,persona_label,customer_value_score
NLD,Offline TA/TO,Transient,131,0.022900763358778626,55014.77,77.88725190839695,87.6412213740458,0.0,0.4198473282442748,5.587786259541985,2,Long-lead cancellation watchlist,52.36
BEL,Online TA,Contract,56,0.0,19953.41,112.40035714285715,73.82142857142857,0.0,1.5535714285714286,3.2142857142857144,0,Value-managed core guests,52.05
CN,Offline TA/TO,Transient-Party,71,0.0,23469.15,94.66323943661972,213.29577464788733,0.0,0.6197183098591549,3.464788732394366,3,Premium reliable guests,52.02
USA,Offline TA/TO,Transient-Party,71,0.0,22978.32,97.35394366197183,181.61971830985917,0.0,0.6056338028169014,3.3661971830985915,3,Premium reliable guests,51.94
AUS,Online TA,Transient,277,0.36823104693140796,57356.47,120.99050541516246,92.83754512635379,0.0036101083032490976,0.8375451263537906,2.848375451263538,0,Value-managed core guests,51.8
ITA,Online TA,Contract,47,0.0,18435.11,117.5068085106383,30.48936170212766,0.0,1.5957446808510638,3.3191489361702127,0,Value-managed core guests,51.77
NOR,Direct,Transient,50,0.14,20308.78,128.2416,84.36,0.04,0.42,3.62,0,Value-managed core guests,51.4
SWE,Offline TA/TO,Transient,45,0.0,15991.14,74.51822222222222,117.88888888888889,0.044444444444444446,0.35555555555555557,4.711111111111111,3,Premium reliable guests,51.4
POL,Direct,Transient,70,0.11428571428571428,26569.98,101.12071428571429,67.41428571428571,0.02857142857142857,0.5285714285714286,4.314285714285714,0,Value-managed core guests,51.12
DNK,Online TA,Transient,289,0.3633217993079585,90903.19,122.07885813148789,118.42560553633218,0.0,0.8027681660899654,4.228373702422146,0,Value-managed core guests,50.98
PRT,Online TA,Contract,662,0.5800604229607251,84236.89,108.47311178247733,52.838368580060425,0.01661631419939577,1.29607250755287,3.1827794561933533,0,Value-managed core guests,50.81
SWE,Offline TA/TO,Transient-Party,92,0.0,24434.12,75.83815217391304,219.6195652173913,0.0,0.1956521739130435,3.5217391304347827,3,Premium reliable guests,50.51
ESP,Direct,Transient-Party,68,0.014705882352941176,27815.45,107.21838235294118,67.61764705882354,0.0,0.6617647058823529,3.4411764705882355,0,Value-managed core guests,50.11
DEU,Direct,Transient-Party,50,0.02,17344.21,98.5354,101.12,0.04,0.44,3.42,3,Premium reliable guests,49.94
